Date Time,Month,Day,Day of Week,Hour,Minute,SecondsFromStart,heatingReturnTemperature[C],heatingSupplyTemperature[C],massFlowRateHeating,ChilledWaterReturnTemperature[C],ChilledWaterSupplyTemperature[C],massFlowRateCooling
01/03/2006 05:30,1,3,2,5,30,192600,0,0,0,0,0,0
01/03/2006 05:40,1,3,2,5,40,193200,0,0,0,0,0,0
01/03/2006 05:50,1,3,2,5,50,193800,0,0,0,0,0,0
01/03/2006 06:00,1,3,2,6,0,194400,0,0,0,0,0,0
01/03/2006 06:10,1,3,2,6,10,195000,0,0,0,0,0,0
01/03/2006 06:20,1,3,2,6,20,195600,0,0,0,0,0,0
01/03/2006 06:30,1,3,2,6,30,196200,0,0,0,0,0,0
01/03/2006 06:40,1,3,2,6,40,196800,0,0,0,0,0,0
01/03/2006 06:50,1,3,2,6,50,197400,0,0,0,0,0,0
01/03/2006 07:00,1,3,2,7,0,198000,0,0,0,0,0,0
01/03/2006 07:10,1,3,2,7,10,198600,0,0,0,0,0,0
01/03/2006 07:20,1,3,2,7,20,199200,0,0,0,0,0,0
01/03/2006 07:30,1,3,2,7,30,199800,0,0,0,0,0,0
01/03/2006 07:40,1,3,2,7,40,200400,0,0,0,0,0,0
01/03/2006 07:50,1,3,2,7,50,201000,0,0,0,0,0,0
01/03/2006 08:00,1,3,2,8,0,201600,0,0,0,0,0,0
01/03/2006 08:10,1,3,2,8,10,202200,0,0,0,0,0,0
01/03/2006 08:20,1,3,2,8,20,202800,0,0,0,0,0,0
01/03/2006 08:30,1,3,2,8,30,203400,0,0,0,0,0,0
01/03/2006 08:40,1,3,2,8,40,204000,0,0,0,0,0,0
01/03/2006 08:50,1,3,2,8,50,204600,0,0,0,0,0,0
01/03/2006 09:00,1,3,2,9,0,205200,0,0,0,0,0,0
01/03/2006 09:10,1,3,2,9,10,205800,0,0,0,0,0,0
01/03/2006 09:20,1,3,2,9,20,206400,0,0,0,0,0,0
01/03/2006 09:30,1,3,2,9,30,207000,0,0,0,0,0,0
01/03/2006 09:40,1,3,2,9,40,207600,0,0,0,0,0,0
01/03/2006 09:50,1,3,2,9,50,208200,0,0,0,0,0,0
01/03/2006 10:00,1,3,2,10,0,208800,0,0,0,0,0,0
01/03/2006 10:10,1,3,2,10,10,209400,0,0,0,0,0,0
01/03/2006 10:20,1,3,2,10,20,210000,0,0,0,0,0,0
01/03/2006 10:30,1,3,2,10,30,210600,0,0,0,0,0,0
01/03/2006 10:40,1,3,2,10,40,211200,0,0,0,0,0,0
01/03/2006 10:50,1,3,2,10,50,211800,0,0,0,0,0,0
01/03/2006 11:00,1,3,2,11,0,212400,0,0,0,0,0,0
01/03/2006 11:10,1,3,2,11,10,213000,0,0,0,0,0,0
01/03/2006 11:20,1,3,2,11,20,213600,0,0,0,0,0,0
01/03/2006 11:30,1,3,2,11,30,214200,0,0,0,0,0,0
01/03/2006 11:40,1,3,2,11,40,214800,0,0,0,0,0,0
01/03/2006 11:50,1,3,2,11,50,215400,0,0,0,0,0,0
01/03/2006 12:00,1,3,2,12,0,216000,0,0,0,0,0,0
01/03/2006 12:10,1,3,2,12,10,216600,0,0,0,0,0,0
01/03/2006 12:20,1,3,2,12,20,217200,0,0,0,0,0,0
01/03/2006 12:30,1,3,2,12,30,217800,0,0,0,0,0,0
01/03/2006 12:40,1,3,2,12,40,218400,0,0,0,0,0,0
01/03/2006 12:50,1,3,2,12,50,219000,0,0,0,0,0,0
01/03/2006 13:00,1,3,2,13,0,219600,0,0,0,0,0,0
01/03/2006 13:10,1,3,2,13,10,220200,0,0,0,0,0,0
01/03/2006 13:20,1,3,2,13,20,220800,0,0,0,0,0,0
01/03/2006 13:30,1,3,2,13,30,221400,0,0,0,0,0,0
01/03/2006 13:40,1,3,2,13,40,222000,0,0,0,0,0,0
01/03/2006 13:50,1,3,2,13,50,222600,0,0,0,0,0,0
01/03/2006 14:00,1,3,2,14,0,223200,0,0,0,0,0,0
